[21 set 13:00:27] Logged in, Innie(268481918) innie 25.6.141.8
[21 set 13:34:07] Logged out, Innie(268481918) innie 25.6.141.8
[21 set 13:34:27] Logged in, Innie(268481918) innie 25.6.141.8
[21 set 14:21:58] Disconnected, Innie(268481918) innie 25.6.141.8
[21 set 14:39:13] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[21 set 14:55:32] Logged out, iWings(268481265) ricardoxdc 25.6.152.4
[21 set 14:55:43] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[21 set 16:21:31] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[21 set 16:32:18] Disconnected, iWings(268481265) ricardoxdc 25.6.152.4
[21 set 21:43:29] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[21 set 22:26:51] Disconnected, iWings(268481265) ricardoxdc 25.6.152.4
[22 set 21:50:47] Logged in, Innie(268481918) innie 25.6.141.8
[22 set 21:52:05] Disconnected abnormally, Innie(268481918) innie 25.6.141.8
[22 set 21:55:11] Logged in, Innie(268481918) innie 25.6.141.8
[22 set 21:55:24] Disconnected abnormally, Innie(268481918) innie 25.6.141.8
[22 set 22:02:32] Logged in, iWings(268481265) ricardoxdc 25.6.152.4
[22 set 22:02:48] Logged in, Innie(268481918) innie 25.6.141.8
[22 set 22:05:07] Logged in, iJackson(268482624) jacksonxdc 25.7.147.96
[22 set 22:13:08] Created new character, Arioto(268483782), arioto87 25.5.2.38
[22 set 22:13:11] Logged in, Arioto(268483782) arioto87 25.5.2.38
[22 set 22:15:26] Created new character, Sammy(268483841), sammmy 25.5.107.18
[22 set 22:15:31] Logged in, Sammy(268483841) sammmy 25.5.107.18
[22 set 22:16:24] Logged out, Sammy(268483841) sammmy 25.5.107.18
[22 set 22:16:27] Logged in, Sammy(268483841) sammmy 25.5.107.18
[22 set 22:21:38] Logged out, Innie(268481918) innie 25.6.141.8
[22 set 22:21:41] Logged in, Innie(268481918) innie 25.6.141.8
[22 set 22:25:36] Created new character, GT3(268484057), teste 25.7.147.96
[22 set 22:25:38] Logged in, GT3(268484057) teste 25.7.147.96
[22 set 22:28:27] Created new character, Tester(268484144), innie2 25.6.141.8
[22 set 22:28:29] Logged in, Tester(268484144) innie2 25.6.141.8
